label,trend,seasonal,hike_effect,covid_main_effect,covid_wave1_effect,covid_2021_effect,fitted,residual
2008-09-01,12.507233041113425,-0.050446803972530804,-0.0,0.0,0.0,0.0,12.456786237140895,0.01907305867240794
2008-10-01,12.500959082785801,-0.02519641603051225,-0.0,0.0,0.0,0.0,12.475762666755289,0.016488421341630755
2008-11-01,12.488994015914741,0.04495588899279617,-0.0,0.0,0.0,0.0,12.533949904907537,-0.01874685571971213
2008-12-01,12.48349957787903,0.3769360301896357,-0.0,0.0,0.0,0.0,12.860435608068666,0.017049725875446953
2009-01-01,12.47212029882789,-0.16871648729083702,-0.0,0.0,0.0,0.0,12.303403811537054,-0.005618358083680164
2009-02-01,12.462680250307466,-0.11311182248786497,-0.0,0.0,0.0,0.0,12.349568427819602,-0.006093142620551717
2009-03-01,12.455343311245073,-0.034872120001955366,-0.0,0.0,0.0,0.0,12.420471191243118,-0.0010346598160762
2009-04-01,12.44836350917412,-0.034529336566344444,-0.0,0.0,0.0,0.0,12.413834172607777,-0.017959684180560487
2009-05-01,12.44758265214746,-0.07989747363335076,-0.0,0.0,0.0,0.0,12.36768517851411,-0.01073434477834212
2009-06-01,12.450506858220955,-0.005770128889304754,-0.0,0.0,0.0,0.0,12.44473672933165,0.010178402858763036
2009-07-01,12.449917927658678,0.15090868696463208,-0.0,0.0,0.0,0.0,12.60082661462331,-0.008193091960006171
2009-08-01,12.452156927369936,-0.056505496819236285,-0.0,0.0,0.0,0.0,12.3956514305507,0.00028509017882427656
2009-09-01,12.454297546017685,-0.05542457150986422,-0.0,0.0,0.0,0.0,12.398872974507821,0.0021947451189898715
2009-10-01,12.45568065118292,-0.02784892808218395,-0.0,0.0,0.0,0.0,12.427831723100736,-0.008100365467567983
2009-11-01,12.459859681596148,0.0492304984790744,-0.0,0.0,0.0,0.0,12.509090180075223,-0.0020022457933883686
2009-12-01,12.464729822673121,0.3679609718175268,-0.0,0.0,0.0,0.0,12.832690794490647,-0.001980028371718845
2010-01-01,12.470283405144173,-0.15764871340848788,-0.0,0.0,0.0,0.0,12.312634691735685,0.0067532461546644384
2010-02-01,12.473506069586142,-0.11321524700437863,-0.0,0.0,0.0,0.0,12.360290822581764,0.002067365191523507
2010-03-01,12.4760151844305,-0.038077727057060695,-0.0,0.0,0.0,0.0,12.437937457373438,0.014397431170573682
2010-04-01,12.473554930222427,-0.032711565663958796,-0.0,0.0,0.0,0.0,12.440843364558468,-0.003349522147995998
2010-05-01,12.472250808984725,-0.07796721164554857,-0.0,0.0,0.0,0.0,12.394283597339177,-0.00728620343120312
2010-06-01,12.47346159826276,-0.005665754988463329,-0.0,0.0,0.0,0.0,12.467795843274297,-0.008519998758597325
2010-07-01,12.477613152515888,0.146427780689304,-0.0,0.0,0.0,0.0,12.624040933205192,0.004760279054893957
2010-08-01,12.480121678726029,-0.050901455665794154,-0.0,0.0,0.0,0.0,12.429220223060234,0.005624106092984249
2010-09-01,12.480689020106274,-0.0629814962616292,-0.0,0.0,0.0,0.0,12.417707523844644,-0.014100459466689585
2010-10-01,12.486123266259916,-0.027037160709377037,-0.0,0.0,0.0,0.0,12.45908610555054,-0.006555806800804476
2010-11-01,12.493820319993281,0.052221125319850216,-0.0,0.0,0.0,0.0,12.546041445313131,0.007033514739992697
2010-12-01,12.4990897184069,0.3608267669815018,-0.0,0.0,0.0,0.0,12.859916485388402,0.008506447341572354
2011-01-01,12.501423066349169,-0.14941672622081933,-0.0,0.0,0.0,0.0,12.35200634012835,0.013183204551184602
2011-02-01,12.499206144207138,-0.10972279725192452,-0.0,0.0,0.0,0.0,12.389483346955213,5.1870829786082595e-05
2011-03-01,12.496971336482465,-0.047639323593503195,-0.0,0.0,0.0,0.0,12.449332012888963,-0.03218030014563844
2011-04-01,12.505843832080231,-0.027975355839064835,-0.0,0.0,0.0,0.0,12.477868476241166,0.0014018475398138719
2011-05-01,12.514232486379308,-0.07546576557416562,-0.0,0.0,0.0,0.0,12.438766720805143,0.005566633843093527
2011-06-01,12.520699788840135,-0.0024942122534370456,-0.0,0.0,0.0,0.0,12.518205576586698,0.005283899029528527
2011-07-01,12.525343326405833,0.13932298307211627,-0.0,0.0,0.0,0.0,12.66466630947795,0.00022893995089745545
2011-08-01,12.52990785732321,-0.049648231509680174,-0.0,0.0,0.0,0.0,12.48025962581353,0.010473030336102696
2011-09-01,12.530857552458164,-0.06477578667483544,-0.0,0.0,0.0,0.0,12.46608176578333,-0.003991878665186022
2011-10-01,12.533185089424437,-0.02494801104655901,-0.0,0.0,0.0,0.0,12.508237078377878,-0.003505329057349016
2011-11-01,12.536722531762635,0.05265127102094249,-0.0,0.0,0.0,0.0,12.589373802783577,-0.014171595065835874
2011-12-01,12.545151424809355,0.3543696064797973,-0.0,0.0,0.0,0.0,12.899521031289153,0.0029734273346235796
2012-01-01,12.552554027304643,-0.14494801216604333,-0.0,0.0,0.0,0.0,12.4076060151386,0.016199570713471445
2012-02-01,12.554365230235213,-0.11026680867502656,-0.0,0.0,0.0,0.0,12.444098421560186,-0.0036297716947579772
2012-03-01,12.557429287406181,-0.04329278937434913,-0.0,0.0,0.0,0.0,12.514136498031831,-0.0034140496323100678
2012-04-01,12.56167174040943,-0.029455734089724725,-0.0,0.0,0.0,0.0,12.532216006319706,0.0040125411516225284
2012-05-01,12.56452924237756,-0.07390418648750575,-0.0,0.0,0.0,0.0,12.490625055890055,0.0007129943012120776
2012-06-01,12.567140657709219,-0.00033115400057268026,-0.0,0.0,0.0,0.0,12.566809503708646,0.008731401203220912
2012-07-01,12.566738370005696,0.13545123845477508,-0.0,0.0,0.0,0.0,12.702189608460472,-0.0011006503710717652
2012-08-01,12.566715990039125,-0.0536166065632775,-0.0,0.0,0.0,0.0,12.513099383475847,-0.004872395816420294
2012-09-01,12.568375366088288,-0.06341047830234088,-0.0,0.0,0.0,0.0,12.504964887785947,-0.009425513251276385
2012-10-01,12.573288042650708,-0.025215716564210233,-0.0,0.0,0.0,0.0,12.548072326086498,0.001756676613073438
2012-11-01,12.57759439807081,0.05895860338207403,-0.0,0.0,0.0,0.0,12.636553001452883,0.021925588353873593
2012-12-01,12.574332973038358,0.3470842936404716,-0.0,0.0,0.0,0.0,12.921417266678828,0.00034163529297615014
2013-01-01,12.570953640481074,-0.14746470839691303,-0.0,0.0,0.0,0.0,12.42348893208416,-0.017197511374243746
2013-02-01,12.573510176580262,-0.10657482125570172,-0.0,0.0,0.0,0.0,12.46693535532456,0.006638338778257591
2013-03-01,12.573775449851645,-0.037422427102570544,-0.0,0.0,0.0,0.0,12.536353022749074,-0.01772765924506281
2013-04-01,12.580159576950626,-0.03320280031583228,-0.0,0.0,0.0,0.0,12.546956776634794,0.011707487396476424
2013-05-01,12.582502784029806,-0.0699508546048405,-0.0,0.0,0.0,0.0,12.512551929424966,0.007327302316660678
2013-06-01,12.582316926428657,-0.0019403221505210927,-0.0,0.0,0.0,0.0,12.580376604278136,-0.005665365507828923
2013-07-01,12.58408652644677,0.13286018065111346,-0.0,0.0,0.0,0.0,12.716946707097883,0.0049391037093204915
