model_id,model_label,model_family,rho,parameter,parameter_group,estimate,std_error,z_value,p_value,percent_conversion,percent_conversion_se
covid_decay_rho_090,COVID decay intervention (rho=0.90),covid_decay,0.9,hike_effect,event,-0.020935743483435937,0.026341254211347996,-0.7947891666607383,0.42673615376282625,-2.0718112209331854,2.579551315086275
covid_decay_rho_090,COVID decay intervention (rho=0.90),covid_decay,0.9,covid_main_effect,event,0.024787300303796438,0.0242204074421533,1.0234055873336183,0.30611611873721656,2.509705950135917,2.4828268448876183
covid_decay_rho_090,COVID decay intervention (rho=0.90),covid_decay,0.9,covid_decay_effect,event,0.03673128347722324,0.027366126679705026,1.3422171104858438,0.17952561015356638,3.7414213039696484,2.839000877337083
covid_decay_rho_090,COVID decay intervention (rho=0.90),covid_decay,0.9,post_stat_change_effect,event,-0.04322796478789342,0.026162380258821862,-1.6522947973480777,0.09847446938794395,-4.230695511137493,2.5055529611605163
covid_decay_rho_095,COVID decay intervention (rho=0.95),covid_decay,0.95,obs_error,variance,0.00024097034396646614,3.804934425745117e-05,6.333101099877093,2.402820013042975e-10,,
covid_decay_rho_095,COVID decay intervention (rho=0.95),covid_decay,0.95,level_noise,variance,7.212479163663564e-05,1.7821121183143613e-05,4.047152302900898,5.184451011222021e-05,,
covid_decay_rho_095,COVID decay intervention (rho=0.95),covid_decay,0.95,slope_noise,variance,1.3946943100431535e-11,1.8096327621554335e-08,0.0007707057140046186,0.9993850658707504,,
covid_decay_rho_095,COVID decay intervention (rho=0.95),covid_decay,0.95,seasonal_noise,variance,5.636740054048862e-05,1.4583372443213088e-05,3.8651828141933846,0.00011100602283448954,,
covid_decay_rho_095,COVID decay intervention (rho=0.95),covid_decay,0.95,hike_effect,event,-0.01909743673774714,0.025683858422588284,-0.7435579352419822,0.45714395955932796,-1.8916236015928887,2.5198016494866904
covid_decay_rho_095,COVID decay intervention (rho=0.95),covid_decay,0.95,covid_main_effect,event,0.012187679829633842,0.033532445985973824,0.36345931444225055,0.7162618001681951,1.22622522464191,3.3943629297093256
